Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	
ECG_LL-RA_24BIT	ECG_LL-RA_24BIT	System_Timestamp_Plot_Zeroed	ECG_LL-LA_24BIT	ECG_LL-LA_24BIT	Timestamp	Timestamp	ECG_Vx-RL_24BIT	ECG_Vx-RL_24BIT	ECG_LA-RA_24BIT	ECG_LA-RA_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	ECG_EMG_Status2	ECG_EMG_Status2	
UNCAL	CAL	CAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	CAL	
no_units	mV	ms	mV	no_units	Ticks	ms	no_units	mV	no_units	mV	no_units	no_units	no_units	no_units	
1891.0	0.13638200001502038	1775597.65625	0.06310642517881694	875.0	1.4322956E7	1973101.9287109375	-17917.0	-1.2922032227758435	1016.0	0.07327557483620344	128.0	128.0	128.0	128.0	
1904.0	0.13731958118910567	1775601.5625	0.05690396510409894	789.0	1.4323084E7	1973105.8349609375	-17309.0	-1.2483532724801627	1115.0	0.08041561608500673	128.0	128.0	128.0	128.0	
2054.0	0.14813782550547427	1775605.46875	0.042696004235268134	592.0	1.4323212E7	1973109.7412109375	-17122.0	-1.2348665278990898	1462.0	0.10544182127020614	128.0	128.0	128.0	128.0	
2134.0	0.15390755580753754	1775609.375	0.042335396091389185	587.0	1.432334E7	1973113.6474609375	-16907.0	-1.2193603777122948	1547.0	0.11157215971614835	128.0	128.0	128.0	128.0	
2102.0	0.15159966368671224	1775613.28125	0.055461532528583116	769.0	1.4323468E7	1973117.5537109375	-17439.0	-1.2577290842210156	1333.0	0.09613813115812912	128.0	128.0	128.0	128.0	
2221.0	0.16018213751103133	1775617.1875	0.0743573992678403	1031.0	1.4323596E7	1973121.4599609375	-18069.0	-1.3031657103497638	1190.0	0.08582473824319103	128.0	128.0	128.0	128.0	
2222.0	0.16025425913980712	1775621.09375	0.07399679112396133	1026.0	1.4323724E7	1973125.3662109375	-17585.0	-1.2682588420222811	1196.0	0.08625746801584579	128.0	128.0	128.0	128.0	
2114.0	0.15246512323202172	1775625.0	0.05978883025513056	829.0	1.4323852E7	1973129.2724609375	-16851.0	-1.2153215665008505	1285.0	0.09267629297689116	128.0	128.0	128.0	128.0	
1736.0	0.1252031475547728	1775628.90625	0.025386813329078342	352.0	1.432398E7	1973133.1787109375	-16265.0	-1.173058292038237	1384.0	0.09981633422569446	128.0	128.0	128.0	128.0	
1392.0	0.10039330725590077	1775632.8125	-0.01629948810332872	-226.0	1.4324108E7	1973137.0849609375	-16128.0	-1.1631776288959539	1618.0	0.1166927953592295	128.0	128.0	128.0	128.0	
1732.0	0.12491466103966965	1775636.71875	-0.013414622952297076	-186.0	1.4324236E7	1973140.9912109375	-15052.0	-1.085574756333203	1918.0	0.13832928399196673	128.0	128.0	128.0	128.0	
3258.0	0.2349722665515264	1775640.625	0.02841592173766158	394.0	1.4324364E7	1973144.8974609375	-12731.0	-0.9181804559445925	2864.0	0.2065563448138648	128.0	128.0	128.0	128.0	
