Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	Shimmer_8F60	
ECG_LL-RA_24BIT	ECG_LL-RA_24BIT	System_Timestamp_Plot_Zeroed	ECG_LL-LA_24BIT	ECG_LL-LA_24BIT	Timestamp	Timestamp	ECG_Vx-RL_24BIT	ECG_Vx-RL_24BIT	ECG_LA-RA_24BIT	ECG_LA-RA_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	ECG_EMG_Status2	ECG_EMG_Status2	
CAL	UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	CAL	UNCAL	UNCAL	CAL	UNCAL	CAL	
mV	no_units	ms	no_units	mV	ms	Ticks	mV	no_units	mV	no_units	no_units	no_units	no_units	no_units	
206.69474621948555	2865919.0	93.75	2901463.0	209.25823739269225	116371.7041015625	3813268.0	-345.7095462929662	-4793424.0	-2.5634911732067076	-35544.0	128.0	128.0	128.0	128.0	
136.48022967341302	1892362.0	97.65625	1925489.0	138.86940286986865	116375.6103515625	3813396.0	-378.0928067079552	-5242433.0	-2.3891731964556215	-33127.0	128.0	128.0	128.0	128.0	
81.68070157536287	1132541.0	101.5625	1157588.0	83.48713201131011	116379.5166015625	3813524.0	-373.06665039857035	-5172743.0	-1.8064304359472318	-25047.0	128.0	128.0	128.0	128.0	
172.89689217768816	2397296.0	105.46875	2418759.0	174.44483869610295	116383.4228515625	3813652.0	-333.00589835714084	-4617282.0	-1.5479465184147978	-21463.0	128.0	128.0	128.0	128.0	
343.2163737078159	4758855.0	109.375	4785156.0	345.11324466624797	116387.3291015625	3813780.0	-305.5388808892824	-4236439.0	-1.8968709584320735	-26301.0	128.0	128.0	128.0	128.0	
401.5565689273559	5567769.0	113.28125	5598828.0	403.79659459550317	116391.2353515625	3813908.0	-324.2310761488767	-4495615.0	-2.240025668147286	-31059.0	128.0	128.0	128.0	128.0	
303.5483960566993	4208840.0	117.1875	4235789.0	305.4920018305781	116395.1416015625	3814036.0	-362.643344121378	-5028219.0	-1.943605773878786	-26949.0	128.0	128.0	128.0	128.0	
209.81508848847014	2909184.0	121.09375	2925983.0	211.02665973027464	116399.0478515625	3814164.0	-370.46861296518006	-5136720.0	-1.2115712418045095	-16799.0	128.0	128.0	128.0	128.0	
236.83574519583527	3283838.0	125.0	3294413.0	237.59843142013926	116402.9541015625	3814292.0	-359.14219965245724	-4979674.0	-0.7626862243039876	-10575.0	128.0	128.0	128.0	128.0	
290.3054225808886	4025220.0	128.90625	4035399.0	291.0395486401974	116406.8603515625	3814420.0	-389.6763336272638	-5403044.0	-0.7341260593087744	-10179.0	128.0	128.0	128.0	128.0	
175.9205914641132	2439221.0	132.8125	2444625.0	176.31033674601755	116410.7666015625	3814548.0	-494.29906955946325	-6853687.0	-0.3897452819043734	-5404.0	128.0	128.0	128.0	128.0	
-60.76146254080088	-842486.0	136.71875	-851162.0	-61.38718979205964	116414.6728515625	3814676.0	-590.6058932072989	-8189026.0	0.6257272512587608	8676.0	128.0	128.0	128.0	128.0	
-265.0617706849302	-3675205.0	140.625	-3701796.0	-266.97955691570724	116418.5791015625	3814804.0	-605.0000721216288	-8388608.0	1.9177862307770528	26591.0	128.0	128.0	128.0	128.0	
-330.2437842182856	-4578984.0	144.53125	-4617431.0	-333.0166444798284	116422.4853515625	3814932.0	-605.0000721216288	-8388608.0	2.7728602615428284	38447.0	128.0	128.0	128.0	128.0	
-295.0156140346067	-4090529.0	148.4375	-4131196.0	-297.94858431203176	116426.3916015625	3815060.0	-605.0000721216288	-8388608.0	2.932970277425084	40667.0	128.0	128.0	128.0	128.0	
-359.57586700628605	-4985687.0	152.34375	-5026731.0	-362.5360271377596	116430.2978515625	3815188.0	-605.0000721216288	-8388608.0	2.960160131473557	41044.0	128.0	128.0	128.0	128.0	
-544.3638848500115	-7547859.0	156.25	-7595808.0	-547.8220448281819	116434.2041015625	3815316.0	-605.0000721216288	-8388608.0	3.4581599781703924	47949.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	160.15625	-8446732.0	-609.1920696725929	116438.1103515625	3815444.0	-605.0000721216288	-8388608.0	4.1919975509640635	58124.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	164.0625	-8449853.0	-609.4171612760022	116442.0166015625	3815572.0	-605.0000721216288	-8388608.0	4.417089154373307	61245.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	167.96875	-8451259.0	-609.5185642860608	116445.9228515625	3815700.0	-605.0000721216288	-8388608.0	4.518492164432069	62651.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	171.875	-8446901.0	-609.204258227856	116449.8291015625	3815828.0	-605.0000721216288	-8388608.0	4.204186106227173	58293.0	128.0	128.0	128.0	128.0	
-593.7877552256293	-8233144.0	175.78125	-8284600.0	-597.4988457559164	116453.7353515625	3815956.0	-605.0000721216288	-8388608.0	3.7110905302870907	51456.0	128.0	128.0	128.0	128.0	
-605.0000721216288	-8388608.0	179.6875	-8435581.0	-608.3878413901141	116457.6416015625	3816084.0	-605.0000721216288	-8388608.0	3.3877692684852208	46973.0	128.0	128.0	128.0	128.0	
-545.6465680177889	-7565644.0	183.59375	-7607058.0	-548.6334131519095	116461.5478515625	3816212.0	-605.0000721216288	-8388608.0	2.9868451341205997	41414.0	128.0	128.0	128.0	128.0	
-382.8145376222775	-5307902.0	187.5	-5336158.0	-384.85240636496627	116465.4541015625	3816340.0	-605.0000721216288	-8388608.0	2.0378687426887447	28256.0	128.0	128.0	128.0	128.0	
-266.5310325063506	-3695577.0	191.40625	-3708603.0	-267.47048884278405	116469.3603515625	3816468.0	-593.0148277300391	-8222427.0	0.9394563364334508	13026.0	128.0	128.0	128.0	128.0	
-283.5380337879698	-3931387.0	195.3125	-3935033.0	-283.8009892464864	116473.2666015625	3816596.0	-605.0000721216288	-8388608.0	0.26295545851653324	3646.0	128.0	128.0	128.0	128.0	
-348.5972963091489	-4833464.0	199.21875	-4836182.0	-348.7933228961615	116477.1728515625	3816724.0	-600.7668931206338	-8329913.0	0.19602658701259937	2718.0	128.0	128.0	128.0	128.0	
-312.9622158959169	-4339367.0	203.125	-4340842.0	-313.06859529836123	116481.0791015625	3816852.0	-551.6063388116764	-7648279.0	0.10637940244429141	1475.0	128.0	128.0	128.0	128.0	
-179.30352858347044	-2486127.0	207.03125	-2482046.0	-179.00920021643643	116484.9853515625	3816980.0	-513.028118971362	-7113374.0	-0.2943283670340022	-4081.0	128.0	128.0	128.0	128.0	
-89.9663948972696	-1247426.0	210.9375	-1236029.0	-89.1444246941119	116488.8916015625	3817108.0	-522.4752590030741	-7244363.0	-0.8219702031576877	-11397.0	128.0	128.0	128.0	128.0	
-112.99511945189471	-1566730.0	214.84375	-1553396.0	-112.03344965379831	116492.7978515625	3817236.0	-547.1746089666616	-7586831.0	-0.9616697980963944	-13334.0	128.0	128.0	128.0	128.0	
-167.56407470274863	-2323354.0	218.75	-2315057.0	-166.96568154879589	116496.7041015625	3817364.0	-534.40121941581	-7409722.0	-0.5983931539527362	-8297.0	128.0	128.0	128.0	128.0	
-101.58540565793582	-1408529.0	222.65625	-1403670.0	-101.23496666371426	116500.6103515625	3817492.0	-469.28094199668675	-6506799.0	-0.35043899422156743	-4859.0	128.0	128.0	128.0	128.0	
49.575830647448385	687392.0	226.5625	697106.0	50.27642014937641	116504.5166015625	3817620.0	-418.6681465707	-5805029.0	-0.7005895019280317	-9714.0	128.0	128.0	128.0	128.0	
124.89706336224836	1731756.0	230.46875	1748400.0	126.09745575159262	116508.4228515625	3817748.0	-431.836402039099	-5987613.0	-1.2003923893442618	-16644.0	128.0	128.0	128.0	128.0	
75.54632431820922	1047485.0	234.375	1063951.0	76.73387905763138	116512.3291015625	3817876.0	-469.55500418603475	-6510599.0	-1.187554739422171	-16466.0	128.0	128.0	128.0	128.0	
16.978368994995236	235413.0	238.28125	245739.0	17.723096933734052	116516.2353515625	3818004.0	-459.9445807867743	-6377346.0	-0.7447279387388157	-10326.0	128.0	128.0	128.0	128.0	
41.97060489304124	581942.0	242.1875	590088.0	42.55810768104883	116520.1416015625	3818132.0	-427.1566459127243	-5922726.0	-0.5875027880075918	-8146.0	128.0	128.0	128.0	128.0	
175.0285911594142	2426853.0	246.09375	2436672.0	175.73675343236368	116524.0478515625	3818260.0	-357.27186945341464	-4953741.0	-0.7081622729494897	-9819.0	128.0	128.0	128.0	128.0	
255.89338074843656	3548081.0	250.0	3563667.0	257.017468454536	116527.9541015625	3818388.0	-365.9028811338998	-5073414.0	-1.1240877060994752	-15586.0	128.0	128.0	128.0	128.0	
173.26456824118713	2402394.0	253.90625	2417170.0	174.33023742797823	116531.8603515625	3818516.0	-444.64787180994415	-6165250.0	-1.0656691867910848	-14776.0	128.0	128.0	128.0	128.0	
-28.74133452669794	-398512.0	257.8125	-395370.0	-28.514728369084406	116535.7666015625	3818644.0	-522.5649783092712	-7245607.0	-0.22660615761353467	-3142.0	128.0	128.0	128.0	128.0	
-137.0811470843729	-1900694.0	261.71875	-1911835.0	-137.884654150564	116539.6728515625	3818772.0	-525.875649556595	-7291511.0	0.8035070661910851	11141.0	128.0	128.0	128.0	128.0	
-145.26889923440208	-2014221.0	265.625	-2033002.0	-146.6234155444402	116543.5791015625	3818900.0	-518.3452860528572	-7187099.0	1.3545163100381268	18781.0	128.0	128.0	128.0	128.0	
