TIMESTAMP_MS,COUNTER,DEVICE_ID,PULSE_BPM,SPO2_PCT,SPO2_STATUS,PLETH,BATTERY_PCT,RED_ADC,IR_ADC,PERFUSION_INDEX
0,9,1,255,12.7,1,0,6.4,37,1,0.0
10,10,1,255,12.7,1,0,6.4,8,-8,0.0
20,11,1,255,12.7,1,0,6.4,20,15,0.0
30,12,1,255,12.7,1,0,6.4,-49,-18,0.0
40,13,1,255,12.7,1,0,6.4,-51,-19,0.0
50,14,1,255,12.7,1,0,6.4,-45,80,0.0
60,15,1,255,12.7,1,0,6.4,-48,44,0.0
70,16,1,255,12.7,1,0,6.4,-2,73,0.0
80,17,1,255,12.7,1,0,6.4,5,40,0.0
90,18,1,255,12.7,1,0,6.4,35,36,0.0
100,19,1,255,12.7,1,0,6.4,53,-25,0.0
110,20,1,255,12.7,1,0,6.4,36,-29,0.0
120,21,1,255,12.7,1,0,6.4,56,10,0.0
130,22,1,255,12.7,1,0,6.4,20,3,0.0
140,23,1,255,12.7,1,0,6.4,41,6,0.0
150,24,1,255,12.7,1,0,6.4,10,-4,0.0
160,25,1,255,12.7,1,0,6.4,10,5,0.0
170,26,1,255,12.7,1,0,6.4,-1,2,0.0
180,27,1,255,12.7,1,0,6.4,-13,27,0.0
190,28,1,255,12.7,1,0,6.4,82,29,0.0
200,29,1,255,12.7,1,0,6.4,47,57,0.0
210,30,1,255,12.7,1,0,6.4,19,51,0.0
220,31,1,255,12.7,1,0,6.4,8,43,0.0
230,32,1,255,12.7,1,0,6.4,-25,28,0.0
240,33,1,255,12.7,1,0,6.4,-35,15,0.0
250,34,1,255,12.7,1,0,6.4,-70,52,0.0
260,35,1,255,12.7,1,0,6.4,-40,4,0.0
270,36,1,255,12.7,1,0,6.4,-87,-2,0.0
280,37,1,255,12.7,1,0,6.4,-1,-3,0.0
290,38,1,255,12.7,1,0,6.4,-63,-4,0.0
300,39,1,255,12.7,1,0,6.4,-54,0,0.0
310,40,1,255,12.7,1,0,6.4,-51,8,0.0
320,41,1,255,12.7,1,0,6.4,46,-50,0.0
330,42,1,255,12.7,1,0,6.4,-29,-31,0.0
340,43,1,255,12.7,1,0,6.4,-1,-60,0.0
350,44,1,255,12.7,1,0,6.4,11,-49,0.0
360,45,1,255,12.7,1,0,6.4,10,-59,0.0
370,46,1,255,12.7,1,0,6.4,11,-80,0.0
380,47,1,255,12.7,1,0,6.4,-11,-63,0.0
390,48,1,255,12.7,1,0,6.4,-9,-61,0.0
400,49,1,255,12.7,1,0,6.4,-11,-82,0.0
410,50,1,255,12.7,1,0,6.4,-38,12,0.0
420,51,1,255,12.7,1,0,6.4,-7,-34,0.0
430,52,1,255,12.7,1,0,6.4,67,-27,0.0
440,53,1,255,12.7,1,0,6.4,60,-17,0.0
450,54,1,255,12.7,1,0,6.4,39,-19,0.0
460,55,1,255,12.7,1,0,6.4,33,-8,0.0
470,56,1,255,12.7,1,0,6.4,-51,55,0.0
480,57,1,255,12.7,1,0,6.4,-24,-2,0.0
490,58,1,255,12.7,1,0,6.4,-19,-5,0.0
500,59,1,255,12.7,1,0,6.4,-12,22,0.0
510,60,1,255,12.7,1,0,6.4,-16,15,0.0
520,61,1,255,12.7,1,0,6.4,7,29,0.0
530,62,1,255,12.7,1,0,6.4,9,26,0.0
540,63,1,255,12.7,1,0,6.4,34,7,0.0
550,64,1,255,12.7,1,0,6.4,37,-14,0.0
560,65,1,255,12.7,1,0,6.4,51,45,0.0
570,66,1,255,12.7,1,0,6.4,57,23,0.0
580,67,1,255,12.7,1,0,6.4,39,22,0.0
590,68,1,255,12.7,1,0,6.4,50,1,0.0
600,69,1,255,12.7,1,0,6.4,50,-10,0.0
610,70,1,255,12.7,1,0,6.4,2,-65,0.0
620,71,1,255,12.7,1,0,6.4,77,-37,0.0
630,72,1,255,12.7,1,0,6.4,52,5,0.0
640,73,1,255,12.7,1,0,6.4,-5,50,0.0
