TIMESTAMP_MS,COUNTER,DEVICE_ID,PULSE_BPM,SPO2_PCT,SPO2_STATUS,PLETH,BATTERY_PCT,RED_ADC,IR_ADC,PERFUSION_INDEX
870,65770,1,255,12.7,2,0,93.8,393899,275344,0.0
880,65771,1,255,12.7,2,0,93.8,393895,275343,0.0
890,65772,1,255,12.7,2,0,93.8,393867,275364,0.0
900,65773,1,255,12.7,2,0,93.8,393914,275383,0.0
910,65774,1,255,12.7,2,0,93.8,393966,275361,0.0
920,65775,1,255,12.7,2,0,93.8,393996,275407,0.0
930,65776,1,255,12.7,2,0,93.8,394002,275393,0.0
940,65777,1,255,12.7,2,0,93.8,393961,275447,0.0
950,65778,1,255,12.7,2,0,93.8,394026,275413,0.0
960,65779,1,255,12.7,2,0,93.8,394044,275487,0.0
970,65780,1,255,12.7,2,0,93.8,394038,275474,0.0
980,65781,1,255,12.7,2,0,93.8,394063,275490,0.0
990,65782,1,255,12.7,2,0,93.8,394099,275546,0.0
1000,65783,1,255,12.7,2,0,93.8,394100,275536,0.0
1010,65784,1,255,12.7,2,0,93.8,394110,275564,0.0
1020,65785,1,255,12.7,2,0,93.8,394138,275550,0.0
1030,65786,1,255,12.7,2,0,93.8,394152,275539,0.0
1040,65787,1,255,12.7,2,0,93.8,394123,275494,0.0
1050,65788,1,255,12.7,2,0,93.8,394205,275547,0.0
1060,65789,1,255,12.7,2,0,93.8,394194,275565,0.0
1070,65790,1,255,12.7,2,0,93.8,394139,275526,0.0
1080,65791,1,255,12.7,2,0,93.8,394174,275572,0.0
1090,65792,1,255,12.7,2,0,93.8,394242,275568,0.0
1100,65793,1,255,12.7,2,0,93.8,394320,275615,0.0
1110,65794,1,255,12.7,2,0,93.8,394298,275650,0.0
1120,65795,1,255,12.7,2,0,93.8,394242,275658,0.0
1130,65796,1,255,12.7,2,0,93.8,394255,275660,0.0
1140,65797,1,255,12.7,2,0,93.8,394333,275655,0.0
1150,65798,1,255,12.7,2,0,93.8,394325,275649,0.0
1160,65799,1,255,12.7,2,0,93.8,394382,275691,0.0
1170,65800,1,255,12.7,2,0,93.8,394356,275682,0.0
1180,65801,1,255,12.7,2,0,93.8,394351,275681,0.0
1190,65802,1,255,12.7,2,0,93.8,394386,275685,0.0
1200,65803,1,255,12.7,2,0,93.8,394360,275719,0.0
1210,65804,1,255,12.7,2,0,93.8,394362,275681,0.0
1220,65805,1,255,12.7,2,0,93.8,394356,275662,0.0
1230,65806,1,255,12.7,2,0,93.8,394440,275717,0.0
1240,65807,1,255,12.7,2,0,93.8,394376,275699,0.0
1250,65808,1,255,12.7,2,0,93.8,394436,275756,0.0
1260,65809,1,255,12.7,2,0,93.8,394456,275753,0.0
1270,65810,1,255,12.7,2,0,93.8,394409,275731,0.0
1280,65811,1,255,12.7,2,0,93.8,394551,275782,0.0
1290,65812,1,255,12.7,2,0,93.8,394505,275811,0.0
1300,65813,1,255,12.7,2,0,93.8,394524,275831,0.0
1310,65814,1,255,12.7,2,0,93.8,394509,275830,0.0
1320,65815,1,255,12.7,2,0,93.8,394596,275855,0.0
1330,65816,1,255,12.7,2,0,93.8,394588,275818,0.0
1340,65817,1,255,12.7,2,0,93.8,394569,275890,0.0
1350,65818,1,255,12.7,2,0,93.8,394639,275888,0.0
1360,65819,1,255,12.7,2,0,93.8,394642,275933,0.0
1370,65820,1,255,12.7,2,0,93.8,394714,275941,0.0
1380,65821,1,255,12.7,2,0,93.8,394634,275947,0.0
1390,65822,1,255,12.7,2,0,93.8,394700,275920,0.0
1400,65823,1,255,12.7,2,0,93.8,394608,275902,0.0
1410,65824,1,255,12.7,2,0,93.8,394632,275863,0.0
1420,65825,1,255,12.7,2,0,93.8,394499,275837,0.0
1430,65826,1,255,12.7,2,0,93.8,394486,275742,0.0
1440,65827,1,255,12.7,2,0,93.8,394384,275705,0.0
1450,65828,1,255,12.7,2,0,93.8,394358,275658,0.0
1460,65829,1,255,12.7,2,0,93.8,394288,275606,0.0
1470,65830,1,255,12.7,2,0,93.8,394258,275621,0.0
1480,65831,1,255,12.7,2,0,93.8,394221,275595,0.0
1490,65832,1,255,12.7,2,0,93.8,394251,275590,0.0
1500,65833,1,255,12.7,2,0,93.8,394206,275605,0.0
1510,65834,1,255,12.7,2,0,93.8,394145,275547,0.0
1520,65835,1,255,12.7,2,0,93.8,394161,275561,0.0
1530,65836,1,255,12.7,2,0,93.8,394125,275509,0.0
1540,65837,1,255,12.7,2,0,93.8,394135,275542,0.0
1550,65838,1,255,12.7,2,0,93.8,394121,275490,0.0
1560,65839,1,255,12.7,2,0,93.8,394091,275478,0.0
1570,65840,1,255,12.7,2,0,93.8,394116,275447,0.0
1580,65841,1,255,12.7,2,0,93.8,394128,275474,0.0
1590,65842,1,255,12.7,2,0,93.8,394062,275453,0.0
1600,65843,1,255,12.7,2,0,93.8,394163,275508,0.0
1610,65844,1,255,12.7,2,0,93.8,394074,275520,0.0
1620,65845,1,255,12.7,2,0,93.8,394088,275493,0.0
1630,65846,1,255,12.7,2,0,93.8,394130,275541,0.0
1640,65847,1,255,12.7,2,0,93.8,394198,275528,0.0
1650,65848,1,255,12.7,2,0,93.8,394153,275517,0.0
1660,65849,1,255,12.7,2,0,93.8,394231,275540,0.0
1670,65850,1,255,12.7,2,0,93.8,394158,275548,0.0
1680,65851,1,255,12.7,2,0,93.8,394265,275585,0.0
1690,65852,1,255,12.7,2,0,93.8,394294,275588,0.0
1700,65853,1,255,12.7,2,0,93.8,394308,275633,0.0
1710,65854,1,255,12.7,2,0,93.8,394300,275628,0.0
1720,65855,1,255,12.7,2,0,93.8,394054,275666,0.0
1730,65856,1,255,12.7,2,0,93.8,394281,275661,0.0
1740,65857,1,255,12.7,2,0,93.8,394335,275629,0.0
1750,65858,1,255,12.7,2,0,93.8,394325,275645,0.0
1760,65859,1,255,12.7,2,0,93.8,394251,275652,0.0
1770,65860,1,255,12.7,2,0,93.8,394375,275693,0.0
1780,65861,1,255,12.7,2,0,93.8,394326,275655,0.0
1790,65862,1,255,12.7,2,0,93.8,394295,275640,0.0
1800,65863,1,255,12.7,2,0,93.8,394316,275645,0.0
1810,65864,1,255,12.7,2,0,93.8,394340,275678,0.0
1820,65865,1,255,12.7,2,0,93.8,394084,275667,0.0
1830,65866,1,255,12.7,2,0,93.8,394323,275701,0.0
1840,65867,1,255,12.7,2,0,93.8,394380,275667,0.0
1850,65868,1,255,12.7,2,0,93.8,394392,275707,0.0
1860,65869,1,255,12.7,2,0,93.8,394393,275702,0.0
1870,65870,1,255,12.7,2,0,93.8,394389,275750,0.0
1880,65871,1,255,12.7,2,0,93.8,394448,275744,0.0
1890,65872,1,255,12.7,2,0,93.8,394372,275739,0.0
1900,65873,1,255,12.7,2,0,93.8,394405,275747,0.0
1910,65874,1,255,12.7,2,0,93.8,394411,275769,0.0
1920,65875,1,255,12.7,2,0,93.8,394223,275791,0.0
1930,65876,1,255,12.7,2,0,93.8,394474,275787,0.0
1940,65877,1,255,12.7,2,0,93.8,394465,275772,0.0
1950,65878,1,255,12.7,2,0,93.8,394367,275714,0.0
1960,65879,1,255,12.7,2,0,93.8,394383,275767,0.0
1970,65880,1,255,12.7,2,0,93.8,394427,275775,0.0
1980,65881,1,255,12.7,2,0,93.8,394471,275755,0.0
1990,65882,1,255,12.7,2,0,93.8,394446,275763,0.0
2000,65883,1,255,12.7,2,0,93.8,394491,275737,0.0
2010,65884,1,255,12.7,2,0,93.8,394492,275782,0.0
2020,65885,1,255,12.7,2,0,93.8,394490,275782,0.0
2030,65886,1,255,12.7,2,0,93.8,394495,275844,0.0
2040,65887,1,255,12.7,2,0,93.8,394582,275829,0.0
2050,65888,1,255,12.7,2,0,93.8,394504,275806,0.0
2060,65889,1,255,12.7,2,0,93.8,394533,275830,0.0
2070,65890,1,255,12.7,2,0,93.8,394547,275821,0.0
2080,65891,1,255,12.7,2,0,93.8,394499,275837,0.0
2090,65892,1,255,12.7,2,0,93.8,394525,275793,0.0
2100,65893,1,255,12.7,2,0,93.8,394439,275750,0.0
2110,65894,1,255,12.7,2,0,93.8,394373,275761,0.0
2120,65895,1,255,12.7,2,0,93.8,394376,275726,0.0
2130,65896,1,255,12.7,2,0,93.8,394369,275705,0.0
2140,65897,1,255,12.7,2,0,93.8,394334,275617,0.0
2150,65898,1,255,12.7,2,0,93.8,394229,275594,0.0
2160,65899,1,255,12.7,2,0,93.8,394167,275573,0.0
2170,65900,1,255,12.7,2,0,93.8,394114,275511,0.0
2180,65901,1,255,12.7,2,0,93.8,394087,275476,0.0
2190,65902,1,255,12.7,2,0,93.8,394148,275500,0.0
2200,65903,1,255,12.7,2,0,93.8,394082,275491,0.0
2210,65904,1,255,12.7,2,0,93.8,394072,275451,0.0
2220,65905,1,255,12.7,2,0,93.8,394055,275472,0.0
2230,65906,1,255,12.7,2,0,93.8,394072,275480,0.0
2240,65907,1,255,12.7,2,0,93.8,393964,275378,0.0
2250,65908,1,255,12.7,2,0,93.8,393962,275435,0.0
2260,65909,1,255,12.7,2,0,93.8,394028,275399,0.0
2270,65910,1,255,12.7,2,0,93.8,393994,275430,0.0
2280,65911,1,255,12.7,2,0,93.8,394009,275431,0.0
2290,65912,1,255,12.7,2,0,93.8,394018,275435,0.0
2300,65913,1,255,12.7,2,0,93.8,394064,275440,0.0
2310,65914,1,255,12.7,2,0,93.8,394087,275490,0.0
2320,65915,1,255,12.7,2,0,93.8,394078,275472,0.0
2330,65916,1,255,12.7,2,0,93.8,394188,275504,0.0
2340,65917,1,255,12.7,2,0,93.8,394113,275517,0.0
2350,65918,1,255,12.7,2,0,93.8,394125,275540,0.0
2360,65919,1,255,12.7,2,0,93.8,394119,275524,0.0
2370,65920,1,255,12.7,2,0,93.8,394142,275512,0.0
2380,65921,1,255,12.7,2,0,93.8,394169,275516,0.0
2390,65922,1,255,12.7,2,0,93.8,394137,275572,0.0
2400,65923,1,255,12.7,2,0,93.8,394202,275572,0.0
2410,65924,1,255,12.7,2,0,93.8,394223,275540,0.0
2420,65925,1,255,12.7,2,0,93.8,394220,275562,0.0
2430,65926,1,255,12.7,2,0,93.8,394223,275590,0.0
2440,65927,1,255,12.7,2,0,93.8,394290,275640,0.0
2450,65928,1,255,12.7,2,0,93.8,394315,275650,0.0
2460,65929,1,255,12.7,2,0,93.8,394292,275609,0.0
2470,65930,1,255,12.7,2,0,93.8,394305,275680,0.0
2480,65931,1,255,12.7,2,0,93.8,394292,275624,0.0
2490,65932,1,255,12.7,2,0,93.8,394326,275675,0.0
2500,65933,1,255,12.7,2,0,93.8,394322,275665,0.0
2510,65934,1,255,12.7,2,0,93.8,394370,275672,0.0
2520,65935,1,255,12.7,2,0,93.8,394252,275617,0.0
2530,65936,1,255,12.7,2,0,93.8,394331,275658,0.0
2540,65937,1,255,12.7,2,0,93.8,394315,275701,0.0
2550,65938,1,255,12.7,2,0,93.8,394401,275723,0.0
2560,65939,1,255,12.7,2,0,93.8,394389,275709,0.0
2570,65940,1,255,12.7,2,0,93.8,394332,275725,0.0
2580,65941,1,255,12.7,2,0,93.8,394407,275687,0.0
2590,65942,1,255,12.7,2,0,93.8,394386,275742,0.0
2600,65943,1,255,12.7,2,0,93.8,394394,275703,0.0
2610,65944,1,255,12.7,2,0,93.8,394336,275696,0.0
2620,65945,1,255,12.7,2,0,93.8,394407,275587,0.0
2630,65946,1,255,12.7,2,0,93.8,394425,275756,0.0
2640,65947,1,255,12.7,2,0,93.8,394404,275743,0.0
2650,65948,1,255,12.7,2,0,93.8,394475,275798,0.0
2660,65949,1,255,12.7,2,0,93.8,394478,275764,0.0
2670,65950,1,255,12.7,2,0,93.8,394377,275769,0.0
2680,65951,1,255,12.7,2,0,93.8,394444,275756,0.0
2690,65952,1,255,12.7,2,0,93.8,394457,275795,0.0
2700,65953,1,255,12.7,2,0,93.8,394519,275825,0.0
2710,65954,1,255,12.7,2,0,93.8,394565,275861,0.0
2720,65955,1,255,12.7,2,0,93.8,394488,275658,0.0
2730,65956,1,255,12.7,2,0,93.8,394509,275787,0.0
2740,65957,1,255,12.7,2,0,93.8,394519,275813,0.0
2750,65958,1,255,12.7,2,0,93.8,394581,275810,0.0
2760,65959,1,255,12.7,2,0,93.8,394528,275830,0.0
2770,65960,1,255,12.7,2,0,93.8,394555,275801,0.0
2780,65961,1,255,12.7,2,0,93.8,394560,275846,0.0
2790,65962,1,255,12.7,2,0,93.8,394556,275813,0.0
2800,65963,1,255,12.7,2,0,93.8,394520,275757,0.0
2810,65964,1,255,12.7,2,0,93.8,394454,275757,0.0
2820,65965,1,255,12.7,2,0,93.8,394426,275582,0.0
2830,65966,1,255,12.7,2,0,93.8,394399,275659,0.0
2840,65967,1,255,12.7,2,0,93.8,394345,275633,0.0
2850,65968,1,255,12.7,2,0,93.8,394340,275592,0.0
2860,65969,1,255,12.7,2,0,93.8,394371,275559,0.0
2870,65970,1,255,12.7,2,0,93.8,394196,275548,0.0
2880,65971,1,255,12.7,2,0,93.8,394219,275518,0.0
2890,65972,1,255,12.7,2,0,93.8,394187,275479,0.0
2900,65973,1,255,12.7,2,0,93.8,394157,275515,0.0
2910,65974,1,255,12.7,2,0,93.8,394143,275457,0.0
2920,65975,1,255,12.7,2,0,93.8,394109,275441,0.0
2930,65976,1,255,12.7,2,0,93.8,394101,275415,0.0
2940,65977,1,255,12.7,2,0,93.8,394128,275438,0.0
4680,66151,1,255,12.7,2,0,93.3,394677,275867,0.0
4690,66152,1,255,12.7,2,0,93.3,394680,275907,0.0
4700,66153,1,255,12.7,2,0,93.3,394693,275899,0.0
4710,66154,1,255,12.7,2,0,93.3,394665,275894,0.0
4720,66155,1,255,12.7,2,0,93.3,394726,275914,0.0
4730,66156,1,255,12.7,2,0,93.3,394713,275924,0.0
4740,66157,1,255,12.7,2,0,93.3,394703,275911,0.0
4750,66158,1,255,12.7,2,0,93.3,394715,275860,0.0
4760,66159,1,255,12.7,2,0,93.3,394745,275957,0.0
4770,66160,1,255,12.7,2,0,93.3,394814,275968,0.0
4780,66161,1,255,12.7,2,0,93.3,394775,275945,0.0
4790,66162,1,255,12.7,2,0,93.3,394832,276012,0.0
4800,66163,1,255,12.7,2,0,93.3,394870,275985,0.0
4810,66164,1,255,12.7,2,0,93.3,394851,275993,0.0
4820,66165,1,255,12.7,2,0,93.3,394856,276011,0.0
4830,66166,1,255,12.7,2,0,93.3,394897,276006,0.0
4840,66167,1,255,12.7,2,0,93.3,394911,276027,0.0
4850,66168,1,255,12.7,2,0,93.3,394917,276026,0.0
4860,66169,1,255,12.7,2,0,93.3,394910,276004,0.0
4870,66170,1,255,12.7,2,0,93.3,394862,276017,0.0
4880,66171,1,255,12.7,2,0,93.3,394888,276068,0.0
4890,66172,1,255,12.7,2,0,93.3,394912,276044,0.0
4900,66173,1,255,12.7,2,0,93.3,394873,276023,0.0
4910,66174,1,255,12.7,2,0,93.3,394822,276021,0.0
4920,66175,1,255,12.7,2,0,93.3,394755,275950,0.0
4930,66176,1,255,12.7,2,0,93.3,394721,275895,0.0
4940,66177,1,255,12.7,2,0,93.3,394672,275893,0.0
